details,etat,adresse,prix,image_lien
SPLIT ASTECH 18000BTU 2.5 CV A++,Neuf,Plateau Dakar,245000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7997e53554ee7af8ca58591dbf6f924/-/horizon-files-prod/ed/picture/qnkjjqk/f30a73e7bb723924fb5f57b1ef290fcec7870fbc.png
CLIM SPLIT SHARP 12000BTU 1.5 CV R410,Neuf,Plateau Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a6a1e7cf9907502c99ebd7ce4b0543f/-/horizon-files-prod/ed/picture/q64zzqg/c0d68fca9715ce4cca0d9eb2fb6e390a885628fa.jpg
INSTALLATION GRATUITE CLIM SHARP 12000BTU,Neuf,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8afc5dcfe22643435ad1b2aa40f4ccd7/-/horizon-files-prod/ed/picture/qwezq546/4ecfe4fb4b3db6fc1ee6efc6610ba9be9d2ff872.jpg
CLIM SPLIT ASTECH 9000BTU 1 CV,Neuf,Plateau Dakar,149900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bdbcc8e75ad7adf31804d850397ed86f/-/horizon-files-prod/ed/picture/q64jwk7/1f9e515e586ab4f113e5891ac9c6ae52dbbe66f6.jpg
SPLIT ASTECH 1.5CV INVERTER+WIFI 12000BTU,Neuf,Plateau Dakar,224000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f7636b89445417261d12d9ca4c252ace/-/horizon-files-prod/ed/picture/qrzvg7nn/97563ce856f43990f0d14387ecb285092e33f3ab.jpg
SPLIT ASTECH 1.25CV INVERTER +WIFI 9000BTU,Neuf,Plateau Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc58a0aa6eec96cbbbfa71bbe82901a9/-/horizon-files-prod/ed/picture/q448z6w5/e410d280533e3a1f6e0740ef0fa1c7eee2548771.jpg
Split Climatiseur Samsung AR 18000 BTU 2.5cv Inverter,Neuf,Colobane Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8abea382d8d726fcbc2d21ae0aec28ba/-/horizon-files-prod/ed/picture/qzvdm5x9/6fb20bac51051696933ce41deb0cfaf7c3ddc6b8.jpg
SPLIT SHARP 9000 BTU 1.25,Neuf,Plateau Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/403bcfbf8c230947e2a36e0c99e55894/-/horizon-files-prod/ed/picture/qv44dv7p/b728f6d572e3a9bcbb93b95205c74fecd6b1ad15.jpg
Clim SPLIT ASTECH 12000BTU 1.5 CV R410 A ++,Neuf,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f63b54bcc8b115248b9d34cb5068287/-/horizon-files-prod/ed/picture/q787rqzd/13a18ac20e2aad33a209373d2c0c35480e7a0be6.jpg
"SPLIT 1,25 smart technologie",Neuf,Keur Massar Dakar,126000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f8b957b690a6683704bd28190a67314/-/horizon-files-prod/ed/picture/qrzqexvn/45bcb7494de00beae077ea340a1a5d697ec51abc.jpg
SPLIT CLIM SHARP 24000BTU 3 CV R410,Neuf,Plateau Dakar,360000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fec77f237b49fb15c979c2b3b8138eb/-/horizon-files-prod/ed/picture/qxzm0x2/e36d1536726a53c7e426bc2ea3d44454a18d921c.jpg
climatiseur Avec montage astech 9000BTU 1.25 CV,Neuf,Plateau Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cea8caf211ae8933847f4540d28c664c/-/horizon-files-prod/ed/picture/qm5pgm5z/c15d964958185ad685d81df99c6d49bbbf0e2bf9.jpg
SPLIT TCL 9000BTU 1.25 CV R410,Neuf,Plateau Dakar,149900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/61ceea9349ddcb89e4345fd85c4c95e3/-/horizon-files-prod/ed/picture/qwe2dgx5/494a6385bf131653a81db28ec094ae6fd64661f2.jpg
SPLIT SHARP 12000BTU 1.5 CV R410,Neuf,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c489c38ec74f35cfcfdf92c1defc8de1/-/horizon-files-prod/ed/picture/qz9x66k/076aea67b8933de08a31239e3c0b8497bf2a6790.jpg
Clim SPLIT SHARP 9000BTU R410,Neuf,Plateau Dakar,165000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c379c597b73c10352bdcaf32503a99e/-/horizon-files-prod/ed/picture/q6x6482p/e8e1d456a01ce41df14fdf67eb5b611a5aadd6a4.jpg
"VENTILATEUR ROCH 18"" AVEC TELECOMMANDE",Neuf,Ouakam Dakar,26900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47310f27f259b4e2e3ec705ec73ce511/-/horizon-files-prod/ed/picture/q8vzjx60/e43dc722479ed418edd509efdec49f8331f9549d.jpg
Installation gratuite + garantie 12 mois sav,Neuf,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ec8fa6be14a976718a6919d1f3fcb93/-/horizon-files-prod/ed/picture/qwee6p7g/a71f3b4270df0d8f01d865f9d2bd783f60c96043.jpg
installation gratuite ASTECH 12000BTU 1.5 CV R410,Neuf,Plateau Dakar,199000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02ac50e87f2023d7fe323430f9f5fec4/-/horizon-files-prod/ed/picture/migrated/qd902qm/70ae6cadb2557bba743626d34ff52d58cada2f11.jpg
CLIMATISEUR TCL 12000BTU 1.5 CV R410,Neuf,Plateau Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/06e6b57fe8d492d02323967a000df91d/-/horizon-files-prod/ed/picture/q0gwqn6d/59ad01be2a4b5398f957d229bd671b02a5628894.jpg
SPLIT BEKO 12000BTU 1.5 CV R410,Neuf,Plateau Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/75403c5b56e22308ced6a3078a818aa0/-/horizon-files-prod/ed/picture/migrated/qer9gpd/71d52383db559eefecff9470f512219f14536202.jpg
SPLIT MEDEA 12000BTU 1.5 CV CLIMATISEUR,Neuf,Plateau Dakar,225000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/75e28e629234b56919e22aa1c2f0f342/-/horizon-files-prod/ed/picture/qw5gwd6/11f346d19de4aae9590b1e3eb971b00fa487ae85.jpg
Split Hisense 1.25,Neuf,Plateau Dakar,145000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/68fd7c747bd98c07680a6dddffada2ea/-/horizon-files-prod/ed/picture/qgq9xxgr/51900d37afb74e35833bc97ee12581f6267f7f1c.jpg
Climatiseur SAMSUNG,D'occasion,Almadies Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5aa0a29797483b83e312e0c0730f7a4f/-/horizon-files-prod/ed/picture/qwe2d05g/e46c9cdf53f11665d1b1ec0419dbee1d8d2d5c90.jpg
SPLIT Sharp 18000 BTU,Neuf,Plateau Dakar,285000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/898d67a2b0af7fe191e6d03c1dcbdb34/-/horizon-files-prod/ed/picture/qpddmr64/29c3f23a32f2877a187542aed4e8cd62dcc44982.png
"VENTILATEUR MURAL ROCH 18"" AVEC TELECOMMANDE",Neuf,Ouakam Dakar,22900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65517ee4442b9539d4ab0fabed23dabf/-/horizon-files-prod/ed/picture/q5649gp7/7cf740f0c8e5926668c53a015c0b1141e9547598.jpg
SPLIT FINIX,Neuf,Gibraltar Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb9012b1a78770096b1ab01f3674e991/-/horizon-files-prod/ed/picture/qpd6x4jw/4daabb65085fda1309d6912a8ff5ecce0ee46a4b.jpg
SPLIT SMART TECHNOLOGY 9000BTU GAZ 410,Neuf,Plateau Dakar,145000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/57e907d5814f75aaf31be194425b36cc/-/horizon-files-prod/ed/picture/qrzqp7gq/23ad72673a108f7318f87c2f4bdcdbb7b35a2f12.png
Split,Neuf,Plateau Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db7879bfb6beaae2d8e47a602b70cc4d/-/horizon-files-prod/ed/picture/q448xjzz/1d83ee60ae85e0ddf9cc890535c0164c8f8a997e.jpg
"Split ! toutes marques de 1,25 cv à 6 cv",Neuf,Almadies 2 Dakar,245000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/30c2f289d87069203ab122157accc772/-/horizon-files-prod/ed/picture/qv4e2j5m/1d5c9b6378afb648b584ff014adffde471aa0b7f.jpg
SPLIT WESTPOOL 9000BTU INVERTER ACS/M09410S,Neuf,Plateau Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b1f7bc69028590eea0493325eb8bfd5f/-/horizon-files-prod/ed/picture/q8vz85x7/f77425e7067062bb67b6f04ebdff8a022874b5d3.jpg
"Split Astech 12000 BTU 1,5 cv",Neuf,Médina Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea913d3e477996516df815c638872261/-/horizon-files-prod/ed/picture/q2jq6znq/d6774cfba4a92bfd539eb4253d454db567d487f7.jpg
"Split Astech 9BTU 1,25",Neuf,Médina Dakar,139000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c2fd25339b362094a7fbdca34fc5b7f/-/horizon-files-prod/ed/picture/qenq4mzd/c7b55712529d7a4e227625594a3a4512f0ef598e.jpg
Split 1.5 deska 12000btu,Neuf,Colobane Dakar,149900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34000b5dcce7b3c11da297edd246f71f/-/horizon-files-prod/ed/picture/q9m9pvej/9d3f0035b72347ea369ed88468327d88b81269f9.jpg
Climatiseur ROCH Portable 12000 BTU,Neuf,Plateau Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5b89ad33087b85585abe0327bb8dda2/-/horizon-files-prod/ed/picture/qgq5n7en/1c3b5c5fb9fdd731122e793b39790779a270b8c0.jpg
SPLIT BEKO 12000BTU (1.5CV),Neuf,Ouakam Dakar,199900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c3a9f7c7465bc156fa77313435eb1df2/-/horizon-files-prod/ed/picture/qq4dg98n/f65997ef83d34c75ecaf53ebe37f5c3411cad13c.jpg
VENTILATEUR SUR PIED GEEPAS,Neuf,Plateau Dakar,27000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/95a6a03124ef1079c2a3c97c22f8db4a/-/horizon-files-prod/ed/picture/qq47d4xw/a512076c4525b1a088ea0c478d8c4ce1237621af.jpg
SPLIT ASTECH 12000BTU 1.5 CV 12RBR410,Neuf,Plateau Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84d82d94c990d2029e5e58814e7bfea0/-/horizon-files-prod/ed/picture/qngx4enm/d707d70b688c44d8eb92f2092dc200a331e55cc6.jpg
PROMO SPLIT ASTECH 12000BTU 1.5 CV,Neuf,Plateau Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c8a2f05d4344ccacef51953d75e77e8/-/horizon-files-prod/ed/picture/q6xkger4/f79f0e9ed17eea677bb892c02d5d6e1ba0d94d9f.jpg
PROMO SPLIT ASTECH 9000Btu 1.25 CV,Neuf,Point-e Dakar,145000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cfd16780e1dcd3a6766d2bf6c8f90e1a/-/horizon-files-prod/ed/picture/q785kexd/110de7c0098cccd5524ff1e24ecff6d1c75fd3f4.jpg
PROMO SPLIT SMART TECHNOLOGY 9000BTU GAZ 410,Neuf,Plateau Dakar,135000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/35049593a985f8ea723cf10b614ce070/-/horizon-files-prod/ed/picture/qngx4m0e/f6a04b55ae0e86f5d37453041c1669c995988d9f.jpg
PROMO SPLIT DESKA 9000BTU 1.25CV,Neuf,Plateau Dakar,135000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/158f383eab8f123279bac265c5980dd0/-/horizon-files-prod/ed/picture/qrzvgpj2/91e4ed45772412c8a6bf53858160fc20a219dfa9.jpg
PROMO SPLIT BRUHM 9000BTU R410A,Neuf,Plateau Dakar,135000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/330eb3015f4393dec0d164b37222e358/-/horizon-files-prod/ed/picture/qm5pzxjr/341fe34c1b566e72511625fb1ae5625fc3739d7f.jpg
PROMO SPLIT ROCH 9000BTU GAZ 410,Neuf,Plateau Dakar,140000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/88ed6234d21cf98709ff79206bf6b7a8/-/horizon-files-prod/ed/picture/qpd6xzj0/76cd114d88e2e65192f073fbecd38121c73320eb.jpg
SPLIT ROCH 9000BUT GAZ 410,Neuf,Plateau Dakar,140000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af47f4de3e71d5a1e9c497b46f7ca3cb/-/horizon-files-prod/ed/picture/qgq9vn5q/b33d201abeb0c7fae9619b650ec7081b32aa87d0.jpg
SPLIT SHARP 12000 BTU 1.5CV,Neuf,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3742628c801a0f588e1a842d9fd64b5/-/horizon-files-prod/ed/picture/qq44zxmw/c54498d64eb8bb011d29f97c52be7cd10e109b3f.png
SPLIT DESKA 12000BTU 1.5CV DES-12FV3-DE,Neuf,Plateau Dakar,185000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49678f68120cf3975e8212afd22944a6/-/horizon-files-prod/ed/picture/q5640xwr/dfec7136ade207db4937ebd506489e7e4abb3430.jpg
"VENTILATEUR RECHARGEABLE ROCH 18""",Neuf,Ouakam Dakar,39900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/63f239f15156bf9ccdae33dedce55489/-/horizon-files-prod/ed/picture/q2jrkm4q/11a8f46cd76391b6869b4be5478a96e503ec96f6.jpg
SPLIT ASTECH 9000BTU(1.25CV) A++,Neuf,Ouakam Dakar,144900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/71bb2122f3e7fe7061043d2b33f61de0/-/horizon-files-prod/ed/picture/q8qk52z/3027c38cac60882acd656024e543f3ec11214f57.jpg
Split astech,Neuf,Plateau Dakar,155000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5b234ab68b95db588f0aaccaba9ed9c3/-/horizon-files-prod/ed/picture/q44d29ez/f565f28496d1a50ed3737065729a22bd4916342e.jpg
SPLIT BEKO 9000BTU(1.25CV),Neuf,Ouakam Dakar,174900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/889bb14d017a5f39e21b3d26064707fa/-/horizon-files-prod/ed/picture/q2jrpnnv/5e3ccbd4c8a33d76a399f9f2160571a19d02f47e.jpg
Ventilateur,Neuf,Point-e Dakar,18000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6cfeb22b7f4fb9ab9b7a47521a8eae12/-/horizon-files-prod/ed/picture/qwe2vqpk/f4fa2b6400af0302eb47a66e5d8f05cd2e11efd2.jpg
SPLIT ASTECH 12000 BTU 1.5 CV,Neuf,Mermoz Dakar,176000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a559f9dbc28537f969ba975051f7f7b/-/horizon-files-prod/ed/picture/qvnn8wg/ad3b1216f0ad9fdb07a99526a0f1210294d6f81c.jpg
Split Smart 9000 BTU,Neuf,Plateau Dakar,127500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8a8dd25db475c1495b7d095ffcbb503/-/horizon-files-prod/ed/picture/qj4rkkje/2b7608a2e7372e5683af4af3f154d3f0932f338e.jpg
Split Astech 1.5,Neuf,Plateau Dakar,159000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a81620e205729a85f2fdba6cb95853b8/-/horizon-files-prod/ed/picture/qxj2rr6n/89bd21939385127ab18cb5dd50d9ae25dc078ebc.jpg
Split 1.5 cav 12000btu Deska,Neuf,Colobane Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/18c942b668fa016ea1e830c493a6f8b5/-/horizon-files-prod/ed/picture/qpd6kdww/43d4faf4d84bea975d1cb69c9d360aa01c362b81.jpg
SPLIT SMART 12000BTU,Neuf,Plateau Dakar,155000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6de818f646a991eae897b64e19f3d085/-/horizon-files-prod/ed/picture/q44dzpe4/c5d88cbffcdc6e3f32bf4bfaa3fa516e529efba8.jpg
Support climatiseur extérieur,Neuf,Plateau Dakar,10000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42206045b02f60ca3246e47063032efb/-/horizon-files-prod/ed/picture/qm5mg4km/000b91691c2862836a3a0de3516a1a9dfe094433.jpg
SPLIT GREE 18000BTU 2CV GAZ 410,Neuf,Plateau Dakar,290000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c4eba0175adcdeebdf8de8572e0bca7/-/horizon-files-prod/ed/picture/qq4de74e/060eaf7b37301aeb006d0fd59d23e2a11eaca384.jpg
SPLIT 1.25CV FINIX-09BB 9000BTU,Neuf,Plateau Dakar,154000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db24dd13096a1f9e967b1de5c1b9e030/-/horizon-files-prod/ed/picture/q6x64xvg/34f03da3912306be46efd5b2da1b7dbb6070f450.png
SPLIT ASTECH 1.5CV A++,Neuf,Ouakam Dakar,164900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/142c79d1d32b154df8c3c77d0d535f3f/-/horizon-files-prod/ed/picture/qjvqx84/32351602ec1aae6cccb42f093b90ce9de7d3ea2a.jpg
Promo climatiseur,Neuf,Plateau Dakar,155000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4194d7dd0cb41866d040f741ebfc82d7/-/horizon-files-prod/ed/picture/qv4enpww/a58952f372e59d4df12aa762dd210e14240e0c2c.jpg
Ventilateur refroidisseur d'air Tengo,Neuf,Dieuppeul Dakar,55000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c034fb5aeaffd8bfe0972df2e3160262/-/horizon-files-prod/ed/picture/migrated/qgpkn7r/70a64aae1354564db71f920d11dbb3de5c6aa2fb.jpg
SPLIT HAIER 9000 BTU 1.25cv GAZ 410,Neuf,Colobane Dakar,139900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3b8f81d2192fe9b12ab73a303a89b29c/-/horizon-files-prod/ed/picture/qv4e67m5/cb4bb251f85a67fc67fa598f2d6550ceeb7aa1af.jpg
Frigo ENDURO COMBINE 4TIROIRS,Neuf,Médina Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f2f3873c343942ce3051064be3e9099/-/horizon-files-prod/ed/picture/qkrgjnxw/1fe40d52dd0360b88a8ce38c10d7c36e741f0fb3.jpg
PROMO SPLIT ELACTRON 12000BTU INVERTER 12KR1,Neuf,Plateau Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c1d5e33b7a18fcd167cfbec110db59a9/-/horizon-files-prod/ed/picture/qxj246v8/6f919d767703767a7790060c09b0c2ab29ff08d1.jpg
SPLIT ELACTRON 48000BTU ARMOIRE INVERTER ENT-48R1ST,Neuf,Plateau Dakar,999900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a89d456bf728d34955f9566d682a9d83/-/horizon-files-prod/ed/picture/qwe2vnvj/5fbc9fe38480e0fca46d808daf8f14d10763e16f.jpg
split smart technology 9000btu,Neuf,Ouakam Dakar,129900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/06d1d4bdcd48fd416b2e073ebecc0bde/-/horizon-files-prod/ed/picture/qzvdn27q/ed8566b3321262566b2148e2cdcb2a414aec12f8.jpg
Climatiseur Smart Technology 9000BTU,Neuf,Point-e Dakar,129000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/934333c58d6ee66182b5844206964671/-/horizon-files-prod/ed/picture/q56xnjwg/d4a548be9884de9955ccd00603f482169212012d.jpg
SPLIT BEKO 12000BTU 1.5 CV GAZ 410,Neuf,Point-e Dakar,195000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3b6f00fc0ad16ac560c2d0956ba0d331/-/horizon-files-prod/ed/picture/qgq92wm9/301b1a2d29ee559158b8f785f8571f4d17e3c293.jpg
PROMO SPLIT ASTECH 18000BTU INVERTER + WIFI,Neuf,Plateau Dakar,279000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/15bce7ff60b5fcb23072f9f194fc4c9d/-/horizon-files-prod/ed/picture/q6xk0dq4/30e15fbbc7a193cc42e188a4cb13a64ebc1e40cc.jpg
CLIMATISEUR 1.5 DOUBLE INVERTER ELACTRON,Neuf,Plateau Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9bf6444c18bcc13466f5657aefc63e5/-/horizon-files-prod/ed/picture/q2jqp08e/4179bf053e55d8902246daedff13a6f954603cc4.jpg
PROMO SPLIT AMERISTAR 9000BTU INVERTER,Neuf,Plateau Dakar,174000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b9e1743c71044779fbb1327e2f62ee0f/-/horizon-files-prod/ed/picture/q56x7d25/1b129a0e2896b5fef719da3659f904ee98389fcc.jpg
PROMO SPLIT ELACTRON 9000BTU INVERTER,Neuf,Plateau Dakar,179000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e76d03a70dc672077a481b4f3377b102/-/horizon-files-prod/ed/picture/qzvdgpqq/b12cb5aa9923b770abb017f6c261f9bb8c2c61fe.jpg
CLIMATISEUR ASTECH 12000BTU 1.5 CV R410 A++,Neuf,Plateau Dakar,169900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9e43efe90ceb3a8eaadb5052d667af42/-/horizon-files-prod/ed/picture/q785enj5/c44570e967310730d77bf9b8ebd9e00c4c97905c.jpg
SPLIT ELACTRON 18000BTU INVERTER ETN-18RIDIAC,Neuf,Plateau Dakar,289900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e47b835d4bba7375b4725c37cef67ff5/-/horizon-files-prod/ed/picture/qv4e8n6m/6cdc386bd9767968ce655eee1a6437618ca1b8a4.jpg
SPLIT ELACTRON 9000BTU DUEL INVERTER WIFI ENT-09,Neuf,Plateau Dakar,249900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e6a1e05e2bcfd74b1248d4f7fbe11cc/-/horizon-files-prod/ed/picture/qm5p2xem/d769eef36616c8039f9517dd516a810e18f803fd.jpg
CLIMATISEUR EVVOLI 12000BTU PORTATIF EVPR 12K,Neuf,Plateau Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bab76cdc51086cfea1b5eb8d99bef32f/-/horizon-files-prod/ed/picture/qm5repmm/6cc65f20e2a3b127fa4d66c1eeb59f8fdb8aee30.jpg
Split,Neuf,Plateau Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce16d11938d30b507120d6d65cbeacf5/-/horizon-files-prod/ed/picture/qngxemze/a99898f50f8883efa044aed94433c4bf961f1302.jpg
SPLIT CAC 9000BTU 1.25CV GAZ 410,Neuf,Point-e Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c83478be74c4e2087d0f0829dd48468/-/horizon-files-prod/ed/picture/qngxr97z/17628ea05261745403e40a2f9c187803fdbe9f97.jpg
SPLIT ENDURO 18000BTU R410,Neuf,Point-e Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac4673a0da11c4ce5e36e646ae5bf06a/-/horizon-files-prod/ed/picture/qkrg97pw/70f6efd5f7fbe6233726ede164e4aa510d5314d6.jpg
SPLIT GREE 12000BTU 1.5CV GAZ 410,Neuf,Point-e Dakar,205000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c58f93d89a20eb379705ff56161977df/-/horizon-files-prod/ed/picture/qv4end9k/a9d337fe912f53674a71701659b0c55e1ae6bf24.jpg
SPLIT HAIER 12000BTU 1.5CV GAZ 410,Neuf,Point-e Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b99cf6892674f6c9253f2681e761a926/-/horizon-files-prod/ed/picture/q9m94krw/20e1f5582ca60f2f38b86d6423f4fb989aa97075.jpg
SPLIT MIDEA 12000BTU 1.5CV/GAZ,Neuf,Point-e Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2998fd297415f3be70c34b17f5bc29dd/-/horizon-files-prod/ed/picture/qq47pzwk/b7ee4fd04892b0f89040963a87b8bcda342d455a.jpg
CLIMATISEUR 2.5CV A++ ELACTRON,Neuf,Plateau Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/769d84610af1184d1d36933e8ba19b86/-/horizon-files-prod/ed/picture/q785nj0e/69381e9d1f5688cdb00e893718fb65359a4c25be.jpg
SPLIT SHARP 12000BTU(1.5CV),Neuf,Ouakam Dakar,179900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa07047d4f8b291bffb4d6621733ec26/-/horizon-files-prod/ed/picture/qgq92m88/8b9301a6dee05a25a4bad642317eff2c2328d9bb.jpg
CLIMATISEUR 1.5 12000BTU HISENSE,Neuf,Plateau Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/114754b5f72d126eef6f01c5a8f039bb/-/horizon-files-prod/ed/picture/qq470w07/408fd0d5133d18918b75f00aa2b1dc2bdbeb2310.jpg
CLIMATISEUR SPLIT SHARP 12000BTU 1.5 CV INVENTER,Neuf,Plateau Dakar,260000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6eb21de04dd7f4ed9c19133d31a564f8/-/horizon-files-prod/ed/picture/q648e9v/fa1fdc52a8e501444dc3678a8c7c78b0ad013bc9.jpg
Split Hisense 1.5,Neuf,Plateau Dakar,165000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20115ff6bd72f67291d69309006773fc/-/horizon-files-prod/ed/picture/q6xk4n6g/33a18ea22760d360c1ddb261ed82f17c8e681309.jpg
Split Smart 1.5,Neuf,Plateau Dakar,139000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f6098bde9af209e992f375a73ae8e26/-/horizon-files-prod/ed/picture/qpd6vvwv/7bc171e4eadea9bd39104ef930cb3a449b0f4638.jpg
Split Smart Technology 1.25 9000BTU,Neuf,Plateau Dakar,125000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a88fd0a8d2886303aef7021492227abf/-/horizon-files-prod/ed/picture/qenq452j/b92dccfa702dbc68f5db6a6e28271a5df5e6f47c.jpg
PROMO VENTILATEUR MIDEA MURAL AVEC COMMANDE,Neuf,Plateau Dakar,29000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ab0eca09de07ebd73c090b92127928db/-/horizon-files-prod/ed/picture/qzvdgze6/067b3612346e3917bd5660e313c205f338ec6990.jpg
PROMO SPLIT ASTECH 24000BTU 3CV,Neuf,Plateau Dakar,319000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aac0c28d22f4947507045805fcf18c73/-/horizon-files-prod/ed/picture/qj4rvp76/18d77266ef140286aa941c6cb6155a2d9a5a19b5.jpg
